"sum","nws_precip_1day_observed_20110401.shp.tiff",313.89
"sum","nws_precip_1day_observed_20110402.shp.tiff",283.62
"sum","nws_precip_1day_observed_20110403.shp.tiff",30.73
"sum","nws_precip_1day_observed_20110404.shp.tiff",32.77
"sum","nws_precip_1day_observed_20110405.shp.tiff",571.02
"sum","nws_precip_1day_observed_20110406.shp.tiff",350.6
"sum","nws_precip_1day_observed_20110407.shp.tiff",16.46
"sum","nws_precip_1day_observed_20110408.shp.tiff",0
"sum","nws_precip_1day_observed_20110409.shp.tiff",0
"sum","nws_precip_1day_observed_20110410.shp.tiff",0
"sum","nws_precip_1day_observed_20110411.shp.tiff",300.42
"sum","nws_precip_1day_observed_20110412.shp.tiff",266.48
"sum","nws_precip_1day_observed_20110413.shp.tiff",450.24
"sum","nws_precip_1day_observed_20110414.shp.tiff",480.02
"sum","nws_precip_1day_observed_20110415.shp.tiff",0
"sum","nws_precip_1day_observed_20110416.shp.tiff",0
"sum","nws_precip_1day_observed_20110417.shp.tiff",1730.4
"sum","nws_precip_1day_observed_20110418.shp.tiff",76.56
"sum","nws_precip_1day_observed_20110419.shp.tiff",36.99
"sum","nws_precip_1day_observed_20110420.shp.tiff",380.32
"sum","nws_precip_1day_observed_20110421.shp.tiff",177.92
"sum","nws_precip_1day_observed_20110422.shp.tiff",8.44
"sum","nws_precip_1day_observed_20110423.shp.tiff",131.48
"sum","nws_precip_1day_observed_20110424.shp.tiff",524.71
"sum","nws_precip_1day_observed_20110425.shp.tiff",38.25
"sum","nws_precip_1day_observed_20110426.shp.tiff",649.46
"sum","nws_precip_1day_observed_20110427.shp.tiff",406.37
"sum","nws_precip_1day_observed_20110428.shp.tiff",85.01
"sum","nws_precip_1day_observed_20110429.shp.tiff",536.07
"sum","nws_precip_1day_observed_20110430.shp.tiff",8.58
"sum","nws_precip_1day_observed_20110501.shp.tiff",0.02
"sum","nws_precip_1day_observed_20110502.shp.tiff",0.09
"sum","nws_precip_1day_observed_20110503.shp.tiff",0.56
"sum","nws_precip_1day_observed_20110504.shp.tiff",190.54
"sum","nws_precip_1day_observed_20110505.shp.tiff",664.33
"sum","nws_precip_1day_observed_20110506.shp.tiff",64.98
"sum","nws_precip_1day_observed_20110507.shp.tiff",2.83
"sum","nws_precip_1day_observed_20110508.shp.tiff",54.89
"sum","nws_precip_1day_observed_20110509.shp.tiff",8.5
"sum","nws_precip_1day_observed_20110510.shp.tiff",2.02
"sum","nws_precip_1day_observed_20110511.shp.tiff",1.04
"sum","nws_precip_1day_observed_20110512.shp.tiff",0
"sum","nws_precip_1day_observed_20110513.shp.tiff",0
"sum","nws_precip_1day_observed_20110514.shp.tiff",0.45
"sum","nws_precip_1day_observed_20110515.shp.tiff",457.16
